개방자치단체코드,관리번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3480000,202534800001000006,구지실내바다낚시터,기타,대구광역시 달성군 구지면 달성2차5로 3,대구광역시 달성군 구지면 내리 842-21,35.6412405,128.420164,,57,우럭+참돔,20,없음,"33,000",,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2192,대구광역시 달성군청,2025-10-17,I,2026-05-15 18:45:51,2025-10-20 13:30:44
3480000,202534800001000001,약산낚시터,저수지,대구광역시 달성군 논공읍 약산덧재길 159,대구광역시 달성군 논공읍 하리 327-3,35.74332817,128.4354565,,1680,붕어+잉어,75,부유형+고정형,"15,000",,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2192,대구광역시 달성군청,2025-10-17,I,2026-05-15 18:45:51,2025-10-20 13:30:44
3480000,202534800001000003,가곡낚시터,저수지,대구광역시 달성군 하빈면 하빈로 738-1,대구광역시 달성군 하빈면 무등리 274,35.92279194,128.4667287,,3508,붕어+잉어,40,없음,"15,000",,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2192,대구광역시 달성군청,2025-10-17,I,2026-05-15 18:45:51,2025-10-20 13:30:44
3480000,202534800001000005,대평낚시터,저수지,대구광역시 달성군 하빈면 하빈로 832,대구광역시 달성군 하빈면 대평리 934,35.93002896,128.4692446,,9018,붕어+잉어,80,고정형,"15,000",,구명부환+구급약품+소화기,화장실+쓰레기통,,053-668-2192,대구광역시 달성군청,2025-10-17,I,2026-05-15 18:45:51,2025-10-20 13:30:44
3491000,202434910001000003,천혜바다낚시터,저수지,인천광역시 영종구 중산로 124 (중산동),인천광역시 영종구 중산동 1125-13,,,032-747-3300,22500,-,220,수상좌대,"80,000원/일",,구명부환+구명조끼+소화기+구급약품,카페,,,인천 영종구,2024-07-22,I,2026-07-14 13:16:44,2024-07-22 12:33:31
3491000,202434910001000002,영종뚜루실내바다낚시터,기타,"인천광역시 영종구 영종진광장로 45, 3층 (중산동)",인천광역시 영종구 중산동 1938-8,,,,800,-,30,없음,"33,000원/2시간",,구명부환+구명조끼+소화기+구급약품,카페,,,인천 영종구,2024-07-22,I,2026-07-14 13:16:44,2024-07-22 12:33:19
3491000,202034910001000002,(주)영종레저,바다,"인천광역시 영종구 영종순환로 279-20, 만정낚시터 (중산동)",인천광역시 영종구 중산동 1853 만정낚시터,37.5154665,126.5499277,032-747-1133,53945,돔+점성어+붕어,340,최대,"60,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 영종구 농수산과,2020-09-10,I,2026-07-14 13:16:44,2020-12-04 16:27:11
3491000,202034910001000001,㈜정성레저,바다,인천광역시 영종구 백운로186번길 140-1 (중산동),인천광역시 영종구 중산동 1852,37.51420751,126.5436932,032-751-1515,28540,"돔, 점성어",250,없음,"70,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실+매점,,032-760-8948,인천광역시 영종구청,2020-09-10,I,2026-07-14 13:16:44,2020-12-04 16:15:11
3501000,202035010001000004,포인트실내낚시카페낚시터,기타,"인천광역시 제물포구 우현로 63, 몽벨,대한애경미용학원,이용화이비인후과 (내동)","인천광역시 제물포구 내동 203-6 몽벨,대한애경미용학원,이용화이비인후과",37.4728317,126.6289879,032-762-3494,36.21,잉어+붕어,18,없음,"10,000(시간당/성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실,,032-760-8948,인천광역시 중구청 농수산과,2020-09-10,I,2026-07-14 13:32:37,2020-12-04 16:34:15
3501000,202435010001000001,J&D 실내바다낚시터,기타,"인천광역시 제물포구 서해대로417번길 2, 재향군인회관 지1층 (신흥동2가)",인천광역시 제물포구 신흥동2가 54-7 재향군인회관,,,070-7543-3213,899,-,30,없음,"40,000원/3시간",,구명부환+구명조끼+소화기+구급약품,카페,,,인천 중구,2024-07-22,I,2026-07-14 13:32:37,2024-07-22 12:33:04
3510500,202435105001000003,주주실내낚시클럽,기타,"인천광역시 미추홀구 주안로 113, 덕진빌딩 지하2층 (주안동)",인천광역시 미추홀구 주안동 130-5 덕진빌딩,37.46425733,126.6822339,032-437-1837,77.25,잉어+붕어,30,없음,(1시간)10000,,구명부환+구명줄+소화기,화장실,,032-880-4675,인천광역시 미추홀구청,2025-11-12,I,2026-05-15 18:45:51,2025-11-12 15:05:10
3510500,202435105001000004,도시어부낚시카페,기타,"인천광역시 미추홀구 주안로104번길 24, 지하2층제2호(주안동)",인천광역시 미추홀구 주안동 143-1,37.46282174,126.6809926,032-442-8678,80,잉어+붕어,80,없음,(1시간)10000,,구명부환+구명줄+소화기,화장실,,032-880-4675,인천광역시 미추홀구청,2025-11-12,I,2026-05-15 18:45:51,2025-11-12 15:04:37
3530000,202635300001000007,소래바다낚시터,기타,인천광역시 남동구 소래로 154번길 25-40(논현동),인천광역시 남동구 논현동 33-14,37.40682335,126.7405419,,1857,우럭+감성돔+돗돔+능성어,40,고정형,"40,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+ATM,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3530000,202635300001000006,남촌낚시터,기타,인천광역시 남동구 남촌로 67번길 60-3(남촌동),인천광역시 남동구 남촌동 582,37.4266899,126.7128884,,1771,붕어+잉어+향어,40,고정형,"20,000",,구명부환+소화기+구급약품,화장실+세면대+주차장,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3530000,202635300001000005,또와또 실내낚시터,기타,인천광역시 남동구 남동대로 881 지하층(간석동),인천광역시 남동구 간석동 284-2,37.4656135,126.707077,,35,잉어+향어,25,고정형,"성인: 10,000 + 청소년: 8,000 + 초등미만: 5,000",,구명부환+소화기+구급약품,화장실+세면대+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3530000,202635300001000004,얼빵 낚시카페,기타,"인천광역시 남동구 인주대로 580, 지하 2층(구월동)",인천광역시 남동구 구월동 1126,37.4497578,126.6991131,,32,잉어+향어,17,고정형,"성인: 10,000 + 초등: 8,000",,구명부환+소화기+구급약품,화장실+세면대+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3530000,202635300001000003,어썸 실내낚시카페,기타,"인천광역시 남동구 백범로 417, 지하1층(간석동)",인천광역시 남동구 간석동 238-9,37.4672684,126.7025735,,58,잉어+붕어+향어,28,고정형,"성인: 11,000 + 청소년: 9,000 + 초등: 6,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3530000,202635300001000001,파도바다 실내낚시터,기타,"인천광역시 남동구 남동대로 897번길 5, 제지층(간석동)",인천광역시 남동구 간석동 283-1 제지층,37.4623753,126.7077663,,60,우럭+방어+도다리+참돔,20,고정형,"1시간 25,000 + 3시간 40,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3530000,202635300001000002,놀러와 실내낚시터,기타,"인천광역시 남동구 백범로 203, 지층 102호(만수동)",인천광역시 남동구 만수동 897-2,37.45945344,126.7261954,,63,잉어+향어,20,고정형,"성인: 12,000 + 청소년: 10,000 + 초등 :6,000",,구명부환+소화기+구급약품,화장실+세면대+주차장+무선인터넷+흡연실,,032-453-6083,인천광역시 남동구청,2026-05-22,,2026-05-23 23:00:16,2026-05-22 17:09:41
3550000,202135500001000001,DMZ실내낚시터,기타,"인천광역시 계양구 경명대로 1056, 지층 1호 (계산동)",인천광역시 계양구 계산동 944-9,37.5432864094,126.724138055,070-4118-0702,76.72,"잉어, 붕어",30,고정형,"시간당 10,000원",,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거통",,,인천광역시 계양구청,2026-05-01,I,2026-05-15 18:45:51,2026-05-12 09:09:59
3561000,201735610001000002,놀이터 실내낚시카페,기타,"인천광역시 서해구 가정로 208, 지하 1층 (석남동)",인천광역시 서해구 석남동 540-15,,,,61.8,"메기, 향어",30,없음,"남성 : 11,000원 여성 : 10,000원 어린이 : 8,000원 커플 : 20,000원",,"구명부환, 소화기","휴식공간, 화장실, 흡연실",,032-560-4453,인천광역시 서해구,2024-07-23,I,2026-07-14 14:30:35,2024-07-23 10:52:12
3561000,201935610001000001,대동실내낚시터,기타,"인천광역시 서해구 심곡로 133, 대동상가 지하 1층 (심곡동)",인천광역시 서해구 심곡동 285 대동아파트,,,0507-138-4893,40,붕어,20,없음,"성인 기본 1시간 11,000원",,"구명부환, 소화기","휴게실, 화장실",,032-560-4453,인천광역시 서해구청,2024-07-23,I,2026-07-14 14:30:35,2024-07-23 10:50:28
3565000,201635650001000001,가현산낚시터,평지,인천광역시 검단구 가현산로23번길 87 (마전동),인천광역시 검단구 마전동 3,,,032-563-4637,3300,향어,60,없음,"1일 35,000원",,"소화기, 구급약품, 구명부환 등","세면대, 화장실",,032-560-4453,인천광역시 검단구,2024-07-23,I,2026-07-01 10:16:31,2024-07-23 10:54:59
3565000,201735650001000001,두밀촌 낚시터,평지,인천광역시 검단구 두밀로 91 (대곡동),인천광역시 검단구 대곡동 260,,,,2347,붕어,136,없음,"1일 30,000원",,"구명부환, 소화기, 방송시설 등",화장실,,032-560-4453,인천광역시 검단구,2024-07-23,I,2026-07-01 10:16:31,2024-07-23 10:54:06
3565000,202435650001000001,뚜루실내바다낚시터,기타,"인천광역시 검단구 세자봉로 97-12, 공장 (금곡동)",인천광역시 검단구 금곡동 90-8 공장,,,0507-135-8422,128,"민어, 참돔, 점농어 등",20,해당없음,"2시간 : 33,000원 4시간 : 44,000원 7시간 : 66,000원",,"구명환, 소화기, 방송시설",화장실,,032-560-4453,인천광역시검단구,2024-07-23,I,2026-07-01 10:16:31,2024-07-23 10:46:40
3565000,201935650001000002,인천 락 실내바다낚시터,기타,인천광역시 검단구 한서로 36-10 (백석동),인천광역시 검단구 백석동 212-70,,,032-563-7949,373,활바다가재,40,없음,"3시간 : 45,000원 6시간 : 80,000원 9시간 : 100,000원",,"구명부환, 구명줄, 소화기 6개","화장실, 세면대",,032-560-4453,인천광역시 검단구청,2024-07-23,I,2026-07-01 10:16:31,2024-07-23 10:49:15
3565000,201835650001000002,낭만물고기,기타,"인천광역시 검단구 검단로 492, 지하 1층 (마전동)",인천광역시 검단구 마전동 979-4,,,0507-140-5125,30,"메기, 잉어, 향어",20,실내,"성인남성 1시간 : 11,000원 성인여성 1시간 : 9,900원",,"구명부환2, 구명동의 2, 소화기 1",화장실,,032-560-4453,인천광역시 검단구청,2024-07-23,I,2026-07-01 10:16:31,2024-07-23 10:51:07
3570000,202635700001000015,강화바다낚시터,기타,인천광역시 강화군 길상면 초지리 1251-354외,,37.372752,126.315943,,5900,넙치+참돔+우럭,130,해당없음,90000,,소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000007,항포낚시터,저수지,인천광역시 강화군 삼산면 석모리 1148,,37.70636707,126.2840291,,528000,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000006,신선지낚시터,저수지,인천광역시 강화군 내가면 고천리 1852-1,,37.72045498,126.4152577,,38000,붕어+잉어,80,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000005,길정낚시터,저수지,인천광역시 강화군 양도면 길정리 403-1,,37.66259233,126.467195,,497000,붕어+잉어,58,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000004,오류내낚시터,저수지,인천광역시 강화군 송해면 하도리 621,,37.75926215,126.4520722,,117700,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000003,국화낚시터,저수지,인천광역시 강화군 강화읍 국화리 450,,37.74460253,126.4619292,,238400,붕어+잉어,50,연안방갈로,75000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000009,길상낚시터,저수지,인천광역시 강화군 길상면 장흥리 16,,37.62515984,126.5012775,,39200,붕어+잉어,150,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000002,내가낚시터,저수지,인천광역시 강화군 내가면 고천리 462,,37.72518794,126.3936217,,30000,붕어+잉어,50,연안방갈로,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000010,강화바다낚시터,기타,인천광역시 강화군 길상면 장흥리 276-5,,37.60690383,126.5168784,,2250,우럭+광어,50,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000011,강화선두바다낚시터,기타,인천광역시 강화군 길상면 선두리 976-20,,37.60086755,126.4935967,,8810,우럭+광어,85,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000012,어류정낚시터,기타,인천광역시 강화군 삼산면 매음리 114-72,,37.66107251,126.336902,,135000,붕어+잉어,40,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000013,황산초지사계절바다낚시터,기타,"인천광역시 강화군 길상면 초지리 1325-57, 1325-58-, 1325-59",,37.62125051,126.5347876,,850,우럭+광어,70,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000001,황청낚시터,저수지,인천광역시 강화군 내가면 황청리 531,,37.71508509,126.3638447,,68000,붕어+잉어,200,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000008,동검낚시터,저수지,인천광역시 강화군 길상면 동검리 109-1,,37.58768059,126.5222735,,25088,우럭+광어,100,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3570000,202635700001000014,삼성낚시터,기타,인천광역시 강화군 불은면 삼성리 1123 외,,37.414703,126.262973,,6726,붕어+잉어,47,연안방갈로,70000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2026-06-01,I,2026-06-02 22:58:25,2026-06-01 17:38:06
3580000,201535800001000002,영흥바다낚시터,기타,"인천광역시 옹진군 영흥면 영흥로176번길 21, 낚시터",인천광역시 옹진군 영흥면 내리 38-4 낚시터,,,032-882-7780,32500,"농어, 능성어, 우럭, 돔류 등",200,없음,"20시간 남성 77,000원 20시간 여성 55,000원 20시간 초등학생 55,000원",해수낚시터,"구명환, 구명줄, 소화기, 구급약","화장실, 매점, 주차장, 방가로",,032-899-2733,옹진군,2020-12-14,I,2026-05-15 18:45:51,2020-12-14 10:57:52
3580000,201835800001000001,용담낚시터,기타,"인천광역시 옹진군 영흥면 영흥남로9번길 309, 용담어촌계축양장",인천광역시 옹진군 영흥면 외리 21-6 용담어촌계축양장,,,032-886-8969,27000,"돔류, 병어,  다금바리, 민어 등",200,없음,"12시간 60,000원",해수낚시터,"구명환, 소화기, 구급약품","방갈로, 화장실, 매점",,032-899-2733,옹진군,2020-12-14,I,2026-05-15 18:45:51,2020-12-14 10:57:29
3580000,201835800001000002,선재낚시터,기타,"인천광역시 옹진군 영흥면 선재로265번길 103, 선재고물상",인천광역시 옹진군 영흥면 선재리 산 24-2 선재고물상,,,,19000,"돔류, 농어, 우럭, 홍민어 등",200,수상 방가로,"12시간 77,000원 2시간 45,000원 방가로 이용 40,000원",해수낚시터,"구명환, 구명줄, 구급약품","매점, 방가로, 휴게실, 주차장",,032-899-2733,옹진군,2020-12-14,I,2026-05-15 18:45:51,2020-12-14 10:57:13
3580000,201935800001000001,내동저수지낚시터,저수지,인천광역시 옹진군 영흥면 내동로 100-15,인천광역시 옹진군 영흥면 내리 496-52,,,032-884-8282,7668,"붕어, 잉어, 메기, 가물치 등",78,방가로,"24시간 30,000원",민물 저수지 낚시터,"구명환, 구명조끼, 구급약","방가로, 공동취사장, 공동수면실, 화장실, 샤워실, 매점",,032-899-2733,옹진군,2020-12-14,I,2026-05-15 18:45:51,2020-12-14 10:57:01
3580000,201735800001000001,선재 낚시공원 낚시터,기타,인천광역시 옹진군 영흥면 선재로226번길 164,인천광역시 옹진군 영흥면 선재리 521-34,,,032-710-4340,19027,"돔류, 바리류, 민어, 병어, 농어",218,없음,"12시간 남성 100,000원 12시간 여성 80,000원 12시간 초중생 70,000원",해수낚시터,"구명환, 소화기, 구급약품","식당, 매점, 펜션, 카페,주차장",,032-899-2733,옹진군,2020-12-14,I,2026-05-15 18:45:51,2020-12-14 10:57:42
3640000,202536400001000001,산내낚시터,저수지,,대전광역시 동구 하소동 481-2,,,042-273-0693,9000,잉어,100,잔교형좌대,"1일 20,000원",,"유선방송시설, 구급약품시설 등","매점, 화장실, 휴식장",,042-251-4646,동구청 지역산업과,2026-05-12,I,2026-05-15 18:45:51,2026-05-12 16:23:31
3650000,202036500001000001,물만난고기,기타,"대전 중구 대종로 488번길 39, 지하(은행동)",,36.329039,127.42833,,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,,대전광역시 중구청,2022-06-17,I,2026-05-15 18:45:51,2022-06-17 15:11:06
3650000,202636500001000001,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2026-04-30,,2026-05-27 22:28:25,2026-05-26 17:26:04
3650000,202436500001000002,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2024-06-30,I,2026-05-15 18:45:51,2024-08-01 13:37:57
3650000,202336500001000001,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2023-08-24,I,2026-05-15 18:45:51,2023-08-29 09:06:10
3650000,202536500001000001,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2025-09-30,I,2026-05-15 18:45:51,2025-11-07 11:09:28
3650000,202436500001000001,물만난고기,기타,"대전광역시 중구 대종로 488번길 39, 지하(은행동)",대전광역시 중구 은행동 45-2,36.329039,127.42833,042-252-2225,61,붕어 등,33,해당없음,"10,000원",,구명부환+소화기+구급약품,화장실+휴지통,,042-606-7264,대전광역시 중구청,2024-01-01,I,2026-05-15 18:45:51,2024-02-05 09:58:58
